Nombre_Producto,Precio_Original,Precio_Rebaja
Pokemon Let's Go Evee Nintendo Switch,"$ 1,499.00",NA
FIFA 18 EA Sports Nintendo Switch,$ 699.00,NA
Super Smash Bros. Ultimate Nintendo Switch,"$ 1,499.00",NA
Videojuego The Legend of Zelda Breath of the Wild Wii U,"$ 1,399.00",$ 559.60
Consola PS4 Slim + FIFA 2017,"$ 7,999.00",NA
Consola PS4 500 Gb Bundle Hits,"$ 8,999.00","$ 7,199.20"
Consola Play Station 4 Slim 1TB Fifa 2018,"$ 8,999.00",NA
FIFA 19 PS4,$ 999.00,$ 699.30
Madden NFL 19 PS4,$ 999.00,NA
Call of Duty: Black Ops 4 PS4,"$ 1,399.00",$ 839.40
Tom Clancy´s The Division 2 PlayStation 4,$ 899.00,NA
Mortal Kombat 11 PS4,"$ 1,199.00",NA
Dirt Rally 2.0 Day One Edition PS4,"$ 1,399.00",NA
Tom Clancy´s The Division 2 Gold Edition PlayStation 4,"$ 1,299.00",NA
Dragons Dawn of New Riders PS4,"$ 1,099.00",NA
FIFA 20 Deluxe Edition EA PS4,"$ 1,799.00",NA
Madden NFL 20 EA PS4,"$ 1,399.00",NA
FIFA 20 EA PS4,"$ 1,399.00",NA
Metro Exodus PS4,"$ 1,399.00",NA
Kingdom Hearts 3 PS4,"$ 1,399.00",NA
Videojuego Call Of Duty World War II Activision PS4,"$ 1,299.00",$ 519.60
Devil May Cry 5 PS4,"$ 1,399.00",NA
Anthem Legion of Dawn Edition PS4,$ 899.00,NA
Anthem PS4,$ 899.00,NA
Videojuego Horizon Zero Dawn Sony para PS4,"$ 1,399.00",$ 419.70
Call Of Duty Infinite Warfare Legacy Edition Activision Play Station 4,"$ 1,599.00","$ 1,279.20"
Shadows of the Tomb Raider PS4,"$ 1,469.00","$ 1,028.30"
Laptop Lenovo Legion Y530 Intel Ci5 8va Gen 8 GB RAM 1 TB ROM 15 Pulg,"$ 24,299.00",NA
Monitor LED BenQ GW2760HM,"$ 5,599.00",NA
Monitor LED BenQ DL2020,"$ 1,999.00",NA
Monitor LED HP 18.5 plg HD,"$ 1,899.00",NA
Audífonos HP 400 Bluetooth Negro,"$ 1,199.00",NA
Mouse Ambidiestro HP Pavilion Gaming 300,$ 699.00,NA
Audífonos con Micrófono HP Omen Mindframe Negro,"$ 4,499.00","$ 3,374.25"
Laptop HP 15-DY1005LA Core i5 8 GB RAM 512 GB SSD ROM 15.6 Pulg,"$ 18,999.00",NA
Laptop Lenovo Legion Y530 Intel Ci5 8va Gen 8 GB RAM 1 TB ROM 15 Pulg,"$ 24,299.00",NA
Laptop Asus UX325JA Core i5 8 GB RAM 512 GB ROM 13.3 Pulg,"$ 29,999.00",NA
Laptop HP Pavilion Gaming 15-EC1021LA AMD R5 8 GB RAM 256 GB ROM 15.6 Pulg,"$ 21,999.00",NA
Ideapad Lenovo C340-15IIL 15.6 Pulg 8 GB RAM 1TB+128GB ROM Core i7 Gris,"$ 22,999.00",NA
Laptop Asus D409DA-R38G1TWHR-01 Ryzen3 8 GB RAM 1 TB ROM 14 Pulg,"$ 14,999.00",NA
Laptop Asus A505ZA-BR446T AMD R5 8 GB RAM 1 TB ROM 15.6 Pulg,"$ 15,999.00",NA
Laptop HP 15-GW0005LA AMD R3 8 GB RAM 256 GB SSD ROM 15.6 Pulg,"$ 13,999.00",NA
Laptop Asus A540MA-GQ936T Celeron N4000 4 GB 500 GB 15.6 Pulg,"$ 9,999.00",NA
Laptop Asus A540NA-GQ058T Celeron N3350 4GB RAM 500GB ROM 15.6 Pulg,"$ 9,999.00",NA
Laptop Asus A540MA Celeron N4000 4 GB RAM 500 GB ROM 15.6 Pulg,"$ 8,999.00",NA
Notebook Ghia Notghia-238 Pentium N4200 4 GB RAM 32 GB ROM 13.3 Pulg,"$ 6,999.00",NA
Laptop HP Stream 14-DS0001LA AMD A4 4GB RAM 64GB eMMC ROM 14 Pulg,"$ 7,999.00",NA
Tablet Lenovo Tab M7 7 Pulg 8 GB Gris,"$ 2,299.00","$ 1,899.00"
